Subbasin,Region,Sensitivity
1254,Tibet,0
1259,Tibet,0
1288,India,1
1313,Tibet,0
1314,Tibet,0
1341,Tibet,0
1342,Tibet,0
1408,Tibet,0
1431,Tibet,0
1441,India,1
1461,Tibet,0
1462,Tibet,0
1508,Tibet,0
1593,Tibet,0
1597,Tibet,0
1615,Tibet,0
1621,Tibet,1
1641,India,1
1642,India,1
1643,Tibet,1
1669,Tibet,0
1682,Tibet,0
1683,Tibet,0
1688,Tibet,0
1710,Tibet,0
1728,Tibet,1
1730,Tibet,1
1737,Tibet,0
1763,Tibet,0
1767,Tibet,0
1773,Tibet,1
1792,Tibet,1
1802,Tibet,0
1803,Tibet,0
1808,Tibet,1
1812,Tibet,0
1816,Tibet,0
1828,Tibet,0
1830,India,1
1833,Tibet,0
1840,Tibet,0
1841,Tibet,0
1842,Tibet,0
1851,Tibet,0
1854,India,1
1855,India,1
1864,India,1
1867,India,1
1868,Tibet,1
1873,Tibet,0
1880,Tibet,0
1883,Tibet,0
1888,Tibet,0
1891,Tibet,0
1894,Tibet,0
1909,Tibet,0
1914,Tibet,0
1917,Tibet,0
1918,Tibet,0
1920,Tibet,0
1921,Tibet,0
1923,Tibet,0
1924,Tibet,0
1925,India,1
1926,Tibet,1
1927,Tibet,1
1928,Tibet,0
1930,Tibet,0
1931,Tibet,0
1932,India,1
1933,Tibet,0
1934,Tibet,0
1935,Tibet,0
1938,Tibet,1
1940,Tibet,0
1941,Tibet,0
1943,Tibet,0
1944,Tibet,0
1945,Tibet,0
1946,Tibet,0
1947,Tibet,0
1948,India,1
1949,India,1
1950,Tibet,0
1951,Tibet,1
1952,Tibet,0
1953,Tibet,0
1954,Tibet,0
1956,Tibet,0
1957,India,1
1958,India,1
1959,Tibet,0
1960,Tibet,1
1961,Tibet,0
1963,Tibet,1
1964,India,1
1965,Tibet,0
1967,Tibet,0
1968,India,1
1969,Tibet,0
1971,Tibet,1
1972,Tibet,0
1973,Tibet,0
1974,India,1
1976,Tibet,0
1977,Tibet,0
1978,Tibet,1
1981,India,1
1983,Tibet,1
1984,Tibet,0
1991,Tibet,0
1992,Tibet,0
1993,Tibet,0
1994,Tibet,0
1995,Tibet,1
1997,Tibet,1
2000,Tibet,1
2002,Tibet,1
2003,Tibet,0
2006,Tibet,0
2007,Tibet,1
2008,Tibet,0
2009,Tibet,0
2010,Tibet,1
2011,India,1
2012,India,1
2013,Tibet,0
2015,Tibet,1
2016,Tibet,0
2017,India,1
2018,India,1
2019,Tibet,0
2020,Tibet,0
2021,Tibet,0
2023,Tibet,0
2026,India,1
2028,India,2
2029,Tibet,0
2031,India,1
2032,India,1
2033,Tibet,0
2035,Tibet,0
2038,Tibet,1
2040,Tibet,1
2041,Tibet,1
2042,Tibet,0
2044,India,1
2050,India,1
2051,Tibet,0
2052,Tibet,0
2053,India,1
2054,India,1
2055,Tibet,0
2056,India,1
2057,India,2
2058,Tibet,0
2060,Tibet,0
2061,Tibet,0
2065,Tibet,0
2066,Tibet,0
2068,Tibet,1
2070,Nepal,1
2072,Tibet,0
2073,Tibet,0
2074,India,1
2076,Tibet,1
2077,Tibet,0
2078,India,2
2079,India,1
2080,India,1
2082,India,1
2085,Tibet,0
2091,Tibet,1
2092,Nepal,1
2093,Tibet,1
2094,India,2
2095,India,1
2096,Tibet,0
2097,Tibet,0
2098,Tibet,0
2100,India,1
2101,Tibet,1
2102,Tibet,0
2103,India,2
2104,Nepal,1
2105,India,1
2106,Tibet,1
2108,Nepal,1
2109,India,1
2111,Tibet,1
2112,Tibet,0
2115,Nepal,1
2116,Nepal,1
2119,India,1
2120,India,1
2121,Tibet,0
2122,India,1
2124,Nepal,1
2125,Tibet,1
2126,Nepal,1
2127,India,1
2128,India,1
2130,India,3
2131,India,1
2132,Nepal,1
2133,India,1
2134,Nepal,1
2135,India,2
2136,Nepal,1
2137,Tibet,0
2138,Nepal,1
2140,India,2
2142,India,1
2144,Tibet,1
2146,Tibet,1
2149,Nepal,1
2150,Nepal,1
2151,India,2
2152,India,1
2153,Tibet,0
2154,Tibet,1
2155,Nepal,1
2156,India,1
2158,Tibet,0
2159,India,1
2160,Tibet,0
2161,Tibet,0
2162,India,1
2163,Nepal,0
2164,India,1
2165,Nepal,0
2166,Tibet,0
2167,Nepal,1
2168,India,2
2172,Tibet,0
2174,Tibet,0
2175,Nepal,0
2176,India,2
2177,Tibet,1
2178,India,1
2179,India,1
2180,Tibet,0
2181,India,1
2182,India,2
2183,India,1
2186,India,1
2188,Tibet,0
2189,Nepal,1
2192,Tibet,0
2194,India,1
2195,Tibet,1
2198,India,1
2200,Nepal,0
2205,India,2
2206,Nepal,2
2207,Tibet,3
2208,India,1
2209,India,1
2210,India,1
2211,Nepal,1
2212,India,1
2213,India,1
2214,India,1
2216,Tibet,1
2217,Nepal,1
2218,Nepal,0
2219,India,2
2220,Nepal,4
2221,Nepal,1
2222,Tibet,0
2225,Tibet,2
2226,Tibet,0
2227,Nepal,1
2229,Nepal,1
2230,Nepal,0
2231,Tibet,0
2232,Tibet,0
2233,Tibet,0
2235,Nepal,3
2236,India,1
2238,Nepal,3
2239,India,1
2240,India,2
2244,Tibet,0
2248,India,1
2249,India,1
2250,Nepal,1
2251,Tibet,0
2252,Nepal,1
2253,India,2
2254,India,1
2255,Nepal,1
2256,Tibet,0
2257,India,2
2258,India,2
2259,India,1
2260,India,1
2261,Nepal,0
2262,India,1
2263,India,1
2265,Nepal,0
2266,Tibet,1
2267,India,2
2269,India,1
2270,India,1
2271,Nepal,0
2272,Tibet,0
2273,Nepal,0
2274,Nepal,0
2275,Nepal,0
2276,India,1
2277,India,1
2278,India,2
2279,India,2
2280,India,1
2285,Tibet,1
2288,Tibet,0
2289,Nepal,1
2290,Tibet,1
2292,Tibet,0
2296,India,1
2297,India,1
2298,India,1
2300,Nepal,2
2301,Tibet,1
2302,Nepal,1
2303,India,1
2304,Nepal,5
2305,India,2
2306,Tibet,1
2308,Nepal,2
2309,Nepal,1
2311,India,2
2312,India,1
2315,India,1
2316,India,1
2317,Nepal,0
2318,Tibet,0
2320,Tibet,1
2322,Nepal,1
2323,Nepal,0
2325,India,2
2326,India,1
2328,Nepal,1
2329,Nepal,2
2330,India,1
2331,India,1
2332,Nepal,1
2333,Nepal,1
2334,India,2
2335,India,1
2336,India,1
2337,India,1
2338,Nepal,0
2339,India,2
2341,Nepal,3
2342,Nepal,2
2343,Nepal,1
2344,Nepal,0
2345,India,1
2346,India,1
2347,Nepal,2
2348,Tibet,0
2350,Tibet,1
2351,India,4
2352,Tibet,2
2356,India,1
2357,Tibet,0
2359,India,3
2361,Nepal,1
2363,Nepal,1
2364,Nepal,1
2365,Nepal,1
2368,Nepal,0
2369,Tibet,1
2370,India,1
2371,India,1
2372,Nepal,1
2373,Nepal,2
2374,India,3
2375,Tibet,1
2376,Tibet,0
2379,Tibet,0
2380,India,3
2381,Nepal,0
2382,India,1
2383,India,1
2385,Nepal,4
2386,Tibet,0
2387,India,1
2388,India,1
2389,Nepal,0
2390,Nepal,2
2391,India,2
2393,Nepal,1
2394,Tibet,2
2395,Nepal,1
2396,Nepal,0
2397,Nepal,3
2398,Tibet,0
2402,India,1
2406,India,1
2407,Nepal,1
2408,Nepal,1
2410,India,4
2411,India,2
2412,Tibet,0
2413,Tibet,0
2414,Nepal,1
2415,Nepal,1
2416,Nepal,1
2417,Nepal,0
2418,India,3
2419,Nepal,1
2420,India,3
2421,Tibet,1
2422,Tibet,0
2423,Nepal,4
2424,India,2
2425,Nepal,3
2426,Nepal,1
2427,Nepal,2
2428,India,1
2430,Nepal,0
2431,Nepal,1
2433,Nepal,3
2434,India,2
2435,Nepal,2
2437,India,3
2438,Nepal,1
2439,Nepal,1
2440,Nepal,0
2441,Nepal,3
2442,India,1
2443,Nepal,2
2444,Nepal,0
2446,Nepal,1
2447,Nepal,1
2450,Tibet,1
2451,India,1
2452,Nepal,2
2456,Nepal,3
2457,Nepal,0
2458,Nepal,1
2461,Nepal,1
2462,Nepal,0
2463,Nepal,1
2464,Nepal,4
2465,Nepal,0
2466,India,1
2467,India,2
2470,India,2
2472,India,2
2473,India,2
2474,Tibet,1
2475,Nepal,1
2476,Nepal,3
2477,Nepal,1
2478,Nepal,1
2480,India,2
2481,Nepal,1
2482,India,1
2483,Nepal,0
2484,Nepal,0
2485,Nepal,1
2486,Nepal,0
2487,Nepal,1
2488,Nepal,1
2490,Nepal,1
2491,Nepal,1
2492,Nepal,4
2493,Nepal,3
2495,India,1
2496,Nepal,2
2497,India,2
2498,India,1
2501,Nepal,1
2502,India,1
2504,Nepal,1
2507,India,3
2508,India,1
2509,Nepal,0
2510,India,2
2511,India,2
2513,India,1
2514,Nepal,3
2516,Nepal,0
2517,Tibet,0
2518,Nepal,1
2519,Nepal,0
2520,Nepal,0
2521,Nepal,0
2522,Nepal,1
2523,Nepal,1
2524,Nepal,0
2525,Nepal,1
2526,India,2
2527,Nepal,1
2528,Nepal,1
2529,Nepal,2
2531,Nepal,0
2532,Nepal,1
2533,Nepal,3
2534,Nepal,1
2535,India,3
2536,Nepal,0
2537,Nepal,2
2539,Nepal,2
2540,Nepal,1
2541,Nepal,0
2543,India,2
2544,India,2
2546,India,1
2547,Nepal,1
2548,Nepal,3
2549,India,2
2550,Nepal,1
2552,Nepal,3
2553,Tibet,0
2555,India,2
2556,India,1
2558,Nepal,1
2562,Nepal,1
2564,Nepal,0
2566,India,1
2567,Nepal,0
2568,Nepal,0
2569,Nepal,0
2570,Nepal,1
2571,Nepal,2
2572,Nepal,1
2573,Nepal,0
2574,Nepal,0
2575,India,2
2576,Nepal,1
2577,Nepal,4
2579,Nepal,0
2580,Nepal,0
2582,Nepal,3
2584,India,1
2585,India,3
2587,Nepal,1
2588,Nepal,1
2590,Nepal,3
2591,Nepal,2
2592,Nepal,1
2593,Nepal,5
2596,Nepal,0
2599,Nepal,1
2600,Nepal,2
2602,India,3
2604,Nepal,5
2605,Nepal,1
2607,Nepal,1
2609,Nepal,1
2611,Nepal,1
2612,Nepal,0
2613,India,1
2614,Nepal,1
2615,Nepal,0
2616,Nepal,0
2617,India,3
2618,Nepal,2
2620,Nepal,1
2621,India,1
2622,Nepal,0
2623,Nepal,2
2624,Nepal,2
2625,Nepal,1
2627,Nepal,3
2628,India,1
2630,Nepal,1
2631,Nepal,1
2632,Nepal,0
2633,Nepal,1
2634,Nepal,1
2635,India,1
2638,India,1
2639,Nepal,1
2640,Nepal,0
2641,Nepal,4
2642,Nepal,0
2643,Nepal,0
2644,Nepal,0
2647,Nepal,2
2648,Nepal,1
2649,Nepal,0
2650,Nepal,1
2651,Nepal,2
2653,India,1
2655,Nepal,1
2658,Nepal,1
2662,Nepal,2
2663,Nepal,1
2664,India,3
2666,Nepal,1
2667,Nepal,1
2668,India,1
2669,Nepal,0
2670,Nepal,0
2671,Nepal,2
2672,Nepal,1
2673,Nepal,0
2674,Nepal,0
2675,Nepal,0
2677,Nepal,0
2679,Nepal,1
2680,Nepal,1
2681,India,1
2682,India,1
2683,Nepal,3
2686,Nepal,1
2687,India,1
2688,Nepal,2
2689,India,1
2690,India,1
2691,India,1
2694,India,3
2695,Nepal,1
2697,Nepal,0
2699,Nepal,2
2700,India,1
2701,Nepal,1
2702,Nepal,0
2703,Nepal,0
2704,Nepal,0
2705,Nepal,1
2706,India,2
2707,India,2
2708,Nepal,0
2709,Nepal,2
2710,Nepal,1
2711,Nepal,2
2712,Nepal,1
2713,Nepal,0
2714,Nepal,0
2715,India,1
2716,Nepal,2
2717,Nepal,2
2718,Nepal,0
2719,Nepal,5
2720,Nepal,1
2721,Nepal,0
2722,Nepal,0
2723,Nepal,2
2725,Nepal,1
2727,Nepal,0
2728,India,2
2729,India,2
2731,Nepal,2
2732,Nepal,0
2734,India,2
2736,India,2
2738,Nepal,0
2741,Nepal,1
2742,Nepal,1
2743,Nepal,2
2744,Nepal,1
2747,India,1
2748,Nepal,1
2749,India,1
2750,Nepal,2
2752,Nepal,1
2753,Nepal,0
2755,Nepal,1
2756,Nepal,0
2757,India,1
2758,Nepal,1
2759,Nepal,2
2760,Nepal,2
2761,Nepal,1
2762,Nepal,0
2763,Nepal,0
2764,Nepal,2
2765,Nepal,0
2766,India,3
2768,Nepal,0
2769,Nepal,0
2770,Nepal,2
2772,India,1
2773,Nepal,1
2775,Nepal,0
2776,Nepal,2
2777,Nepal,2
2779,Nepal,3
2781,India,1
2782,India,2
2783,Nepal,0
2784,Nepal,1
2787,Nepal,1
2791,Nepal,1
2792,Nepal,1
2794,Nepal,1
2795,Nepal,1
2797,Nepal,0
2799,Nepal,1
2801,India,2
2803,Nepal,1
2805,Nepal,1
2806,Nepal,1
2807,Nepal,0
2808,Nepal,0
2809,Nepal,1
2810,Nepal,0
2812,India,1
2814,Nepal,1
2815,Nepal,2
2816,Nepal,2
2817,Nepal,1
2818,Nepal,1
2819,Nepal,1
2821,Nepal,2
2822,Nepal,2
2823,Nepal,0
2824,India,2
2825,Nepal,2
2826,Nepal,0
2827,Nepal,2
2828,Nepal,2
2829,India,1
2830,Nepal,1
2831,Nepal,0
2834,Nepal,1
2835,India,1
2837,India,2
2839,Nepal,0
2840,Nepal,1
2842,Nepal,1
2843,India,1
2844,Nepal,1
2845,Nepal,1
2846,Nepal,1
2847,Nepal,2
2848,Nepal,1
2849,India,1
2850,India,1
2852,India,1
2853,Nepal,3
2854,India,2
2855,Nepal,0
2856,Nepal,1
2857,Nepal,2
2858,Nepal,3
2859,Nepal,0
2860,India,1
2861,India,1
2862,Nepal,2
2864,Nepal,1
2865,Nepal,1
2866,India,2
2867,Nepal,2
2868,Nepal,1
2869,India,3
2871,Nepal,0
2872,Nepal,0
2873,Nepal,0
2875,India,1
2877,Nepal,1
2878,Nepal,1
2879,Nepal,1
2880,Nepal,1
2881,Nepal,3
2882,Nepal,0
2883,India,1
2884,Nepal,1
2885,Nepal,3
2886,Nepal,2
2888,Nepal,1
2889,Nepal,0
2891,Nepal,2
2892,Nepal,2
2893,Nepal,1
2894,India,1
2895,India,3
2896,Nepal,3
2898,India,1
2899,Nepal,3
2900,Nepal,1
2901,Nepal,1
2902,India,1
2903,Nepal,3
2904,Nepal,1
2905,Nepal,0
2906,Nepal,2
2908,Nepal,1
2909,India,1
2910,Nepal,1
2911,India,1
2912,India,1
2913,India,2
2914,Nepal,1
2915,Nepal,0
2916,Nepal,1
2917,Nepal,0
2918,Nepal,2
2920,Nepal,0
2921,Nepal,2
2922,Nepal,0
2923,Nepal,1
2924,Nepal,2
2925,India,3
2926,India,2
2927,India,1
2928,India,1
2929,Nepal,1
2930,Nepal,1
2931,Nepal,3
2932,Nepal,0
2933,India,2
2934,India,1
2935,Nepal,0
2936,Nepal,0
2937,Nepal,4
2938,Nepal,1
2939,Nepal,1
2940,India,1
2941,Nepal,3
2943,India,2
2944,India,2
2946,Nepal,2
2947,Nepal,0
2948,India,3
2949,Nepal,2
2950,Nepal,3
2951,Nepal,2
2952,Nepal,2
2953,Nepal,2
2954,Nepal,4
2955,Nepal,0
2956,India,1
2958,Nepal,3
2959,Nepal,0
2960,India,2
2961,Nepal,1
2962,Nepal,2
2963,India,2
2965,India,2
2966,Nepal,0
2967,Nepal,0
2968,Nepal,2
2969,Nepal,1
2970,Nepal,1
2971,India,2
2972,Nepal,4
2973,Nepal,1
2975,India,1
2976,Nepal,3
2977,Nepal,0
2978,Nepal,2
2979,India,2
2980,India,2
2981,Nepal,1
2982,Nepal,1
2983,Nepal,0
2985,Nepal,1
2986,Nepal,2
2987,Nepal,1
2988,India,2
2989,India,2
2990,India,2
2994,India,2
2995,Nepal,0
2996,Nepal,3
2997,Nepal,1
2998,India,5
2999,Nepal,0
3000,Nepal,0
3001,Nepal,3
3003,Nepal,2
3004,Nepal,1
3006,Nepal,2
3007,Nepal,4
3009,Nepal,1
3010,Nepal,1
3011,Nepal,0
3013,Nepal,2
3014,Nepal,4
3015,Nepal,1
3016,Nepal,2
3019,Nepal,1
3020,India,2
3021,India,1
3022,India,5
3023,India,4
3026,Nepal,4
3028,Nepal,2
3029,Nepal,1
3030,India,1
3031,Nepal,4
3032,India,2
3034,Nepal,1
3035,Nepal,1
3036,Nepal,2
3037,Nepal,1
3038,Nepal,1
3039,India,1
3040,India,1
3041,Nepal,2
3042,Nepal,1
3043,Nepal,1
3044,Nepal,2
3045,India,2
3046,Nepal,3
3047,Nepal,2
3048,Nepal,2
3049,Nepal,2
3052,Nepal,1
3053,Nepal,2
3054,India,3
3056,Nepal,1
3057,Nepal,3
3058,India,1
3059,Nepal,1
3060,Nepal,5
3061,Nepal,1
3062,Nepal,2
3065,Nepal,2
3066,Nepal,1
3067,Nepal,3
3068,Nepal,3
3070,Nepal,1
3071,Nepal,3
3073,Nepal,3
3074,Nepal,3
3075,Nepal,1
3076,Nepal,4
3081,Nepal,2
3082,India,1
3083,India,2
3084,Nepal,3
3085,Nepal,5
3086,Nepal,1
3087,Nepal,1
3088,Nepal,2
3089,Nepal,2
3091,Nepal,1
3092,Nepal,1
3094,Nepal,1
3096,India,1
3097,Nepal,3
3098,Nepal,1
3099,Nepal,1
3101,India,1
3102,India,1
3103,India,1
3105,Nepal,3
3106,Nepal,2
3107,Nepal,5
3109,Nepal,3
3110,India,1
3111,Nepal,1
3112,Nepal,1
3113,Nepal,3
3114,Nepal,3
3115,India,2
3116,Nepal,2
3117,Nepal,3
3118,Nepal,3
3119,Nepal,2
3120,Nepal,2
3121,Nepal,2
3125,Nepal,2
3129,Nepal,2
3130,Nepal,2
3131,India,3
3132,Nepal,1
3135,Nepal,1
3136,Nepal,2
3137,Nepal,2
3139,Nepal,2
3140,Nepal,2
3141,Nepal,1
3142,Nepal,2
3144,Nepal,2
3145,Nepal,2
3146,Nepal,2
3147,Nepal,3
3148,Nepal,2
3149,India,1
3150,Nepal,2
3151,Nepal,2
3152,Nepal,2
3154,Nepal,2
3155,Nepal,2
3156,Nepal,2
3157,Nepal,2
3158,Nepal,2
3159,Nepal,2
3160,Nepal,2
3161,Nepal,1
3162,Nepal,1
3163,Nepal,1
3164,Nepal,2
3165,Nepal,2
3166,Nepal,2
3167,Nepal,2
3168,Nepal,2
3171,India,2
3172,Nepal,2
3173,Nepal,2
3174,Nepal,2
3176,Nepal,2
3177,Nepal,2
3178,Nepal,2
3182,Nepal,2
3183,India,2
3184,Nepal,2
3185,Nepal,2
3186,Tibet,0
3188,Tibet,0
3192,Tibet,0
3194,Tibet,0
3196,Tibet,0
3200,Tibet,0
3206,Tibet,0
3209,Tibet,0
3211,Tibet,0
3212,Tibet,0
3214,Tibet,0
3217,Tibet,0
3218,India,1
